"name","domain","year","scope_class","role","source_unit","synthesis_or_collection","verifier","primary_url","main_limit"
"SWE-bench task corpus","Software engineering","2023","Functional vertical","Real-artifact seed","GitHub issues, base commits, and resolving pull requests","Extract issue–PR pairs and reconstruct their repository environments","FAIL_TO_PASS and PASS_TO_PASS tests","https://arxiv.org/abs/2310.06770","Public patches are vulnerable to contamination, and collection retains only tasks with reconstructable histories"
"SWE-smith","Software engineering","2025","Functional vertical","Programmatic synthesis factory","Installable Python repositories, tests, and code mutations","Build each repository environment, inject a bug that breaks existing tests, then generate an issue and trajectories","Existing-test fail-to-pass behavior and environment executability","https://github.com/SWE-bench/SWE-smith","Synthetic bugs may be overly local, and the test suite determines the boundary of what can be verified"
"SWE-rebench V2","Software engineering","2026","Functional vertical","Continuously refreshed pipeline","Recent multilingual GitHub pull requests, repository setup, and candidate tests","Continuously collect pull requests, generate repository-specific setup, and combine execution filtering with judge ensembles","Container execution, test differentials, and judge ensembles","https://arxiv.org/abs/2602.23866","A changing distribution weakens cross-version comparability, while automated setup and judging may introduce selection bias"
"CyberGym environments","Cybersecurity","2025","Industry vertical","Real-artifact seed","Historical vulnerabilities, vulnerable and fixed versions, and proof-of-concept exploits","Automatically construct pre- and post-patch vulnerability-reproduction environments","Crash before the patch and no crash after the patch","https://arxiv.org/abs/2506.02548","Licensing, build failures, and dangerous code require strict isolation and human audit"
"MLE-bench competition packages","Machine learning engineering","2024","Functional vertical","Real-task packaging","Kaggle competition data, descriptions, and metrics","Reconstruct real competitions as isolated agent workspaces","Competition metrics and medal thresholds","https://arxiv.org/abs/2410.07095","Data licenses and compute differences limit reuse, and leaderboard priors may contaminate evaluation"
"PaperBench reproduction packages","AI research reproduction","2025","Functional vertical","Expert-decomposed data","Papers, code, author rubrics, and environments","Paper authors decompose reproduction goals into hierarchical outcomes and construct fresh runs","Hierarchical rubrics, JudgeEval, and independent reruns","https://arxiv.org/abs/2504.01848","Author decomposition is expensive, and both open-ended judges and reproduction infrastructure require maintenance"
"Mind2Web","Browser interaction","2023","Interface domain","Human demonstrations","Real website tasks, actions, DOM snapshots, and screenshots","Crowd workers complete tasks on real websites while their actions are recorded","Offline action matching and element-grounding metrics","https://arxiv.org/abs/2306.06070","Offline trajectories do not establish execution outcomes, and websites and DOM structures age quickly"
"WebLINX","Collaborative browser interaction","2024","Interface domain","Human demonstrations","User–assistant dialogue, web actions, HTML, and screenshots","Record multiturn browsing trajectories in realistic collaborative scenarios","Offline action, element, and text metrics","https://arxiv.org/abs/2402.05930","Data favor happy paths and lack resettable online state, while offline grading struggles with tasks that admit multiple solutions"
"τ²-bench task blueprints","Customer service and telecom workflows","2025","Industry vertical","Policy/specification blueprints","Policies, initial states, dual-control actions, and goal states","Compose tasks from atomic components and unfold user–agent interaction","Terminal-state, communication, and policy assertions","https://arxiv.org/abs/2506.07982","Combinatorial scale can overstate genuine diversity, and the simulator defines the user behavior distribution"
"WorkArena++ compositional generator","Enterprise knowledge work","2024","Functional vertical","Workflow blueprints","ServiceNow atomic tasks, initial-state configurations, and composition rules","Compose atomic tasks while jointly generating setup, oracle traces, and validation","Programmatic terminal-state validation","https://arxiv.org/abs/2407.05291","The generator is constrained by one SaaS platform and a hand-authored workflow grammar"
