"name","year","harness_role","scope_class","primary_layer","environment_or_runtime","verifier_support","observability","primary_url","main_limit"
"Inspect AI","2024","General evaluation framework","Horizontal substrate","Contracts, control loops, scoring, and logs","Python task, solver, and tool abstractions with sandbox integration","Built-in and custom scorers combining model judges and programmatic scoring","Per-sample logs, events, tokens, and errors","https://inspect.aisi.org.uk/","Not a ready-made vertical environment; task reset, domain tools, and verifiers must still be implemented"
"Harbor","2026","General agent-evaluation orchestrator","Horizontal substrate","Container execution, task adaptation, concurrency, and result normalization","Containerized tasks with pluggable agent and benchmark adapters","Connects native benchmark graders and normalizes their results","Run logs, resources, artifacts, and reproducible experiment metadata","https://github.com/laude-institute/harbor","A unified entry point cannot remove environment differences or grader defects in the underlying benchmarks"
"BrowserGym","2024","Browser-environment API","Interface domain","Environment and action contracts","Playwright browsers with composable observation and action spaces","Integrates evaluators from WebArena, WorkArena, and related suites","Actions, DOM, screenshots, web pages, and error trajectories","https://github.com/ServiceNow/BrowserGym","Primarily solves browser interaction and does not provide industry policies, permissions, or deployment governance"
"AgentLab","2024","Web-agent experimentation framework","Interface domain","Control loops, configuration, and experiment orchestration","Web-agent runtime built on BrowserGym","Reuses BrowserGym benchmark evaluators","Experiment configurations, trajectories, screenshots, and aggregated results","https://github.com/ServiceNow/AgentLab","Optimized scaffolds are easily conflated with model capability, and the framework is not a general vertical verifier"
"SWE-bench evaluation harness","2024","Software-engineering evaluator","Functional vertical","Environment, patch execution, and verification","Builds repository images at base commits and applies candidate patches","FAIL_TO_PASS, PASS_TO_PASS, and per-task reports","Patches, test output, container state, and evaluation logs","https://github.com/SWE-bench/SWE-bench","Dependencies and images are brittle, while incomplete tests, task contamination, and resource differences can distort scores"
"Terminal-Bench harness","2025","Terminal-task evaluator","Functional vertical","Container environments, agent adapters, and graders","Isolated CLI containers with task instructions and time and resource limits","Per-task tests and reward files","Terminal trajectories, test logs, resources, and results","https://www.tbench.ai/","Resource and network settings materially affect performance, and the terminal interface is not itself an industry rule set"
"τ-bench family runner","2024","Customer-service, knowledge, and voice workflow evaluator","Industry vertical","User simulation, tool loops, retrieval or voice, and state verification","Domain databases, policy documents, API tools, knowledge bases, and a user simulator","Target database state, communication and policy constraints, and pass^k","Complete dialogue, tool calls, retrieved evidence, and terminal state","https://github.com/sierra-research/tau2-bench","User model, task version, turn limit, and voice conditions all change the score and therefore must be pinned and calibrated against humans"
"WorkArena / WorkArena++","2024","Enterprise web environment and evaluator","Functional vertical","Task setup, browser environment, and validation","ServiceNow instances, BrowserGym, and compositional task generators","Programmatic terminal-state checks and oracle traces","Browser actions, page state, and task logs","https://github.com/ServiceNow/WorkArena","ServiceNow deployment is expensive, and a single-platform template limits transfer across enterprise settings"
"AppWorld","2024","Multi-application API environment and evaluator","Interface domain","Stateful world, tool contracts, and side-effect grading","Nine simulated applications, 457 APIs, and resettable databases","Target-state tests and collateral-damage checks","API trajectories, database diffs, and test results","https://github.com/StonyBrookNLP/appworld","Simulated services omit production authentication, network failures, and API drift and do not encode a single industry's governance"
"CyberGym","2025","Vulnerability environment and evaluator","Industry vertical","Isolation, vulnerability reproduction, and differential verification","Pre- and post-patch images of historical vulnerable repositories with restricted terminals","Differential pre-patch/post-patch crash oracle","Commands, build logs, crashes, and proof-of-concept artifacts","https://github.com/sunblaze-ucb/cybergym","High-risk execution needs stronger sandboxing and egress control, while a differential crash does not verify a complete attack path"
"MLE-bench","2024","ML-engineering environment and evaluator","Functional vertical","Data, GPU runtime, submissions, and metrics","Isolated Kaggle competition workspaces under fixed resources","Competition metrics, valid submissions, and medal thresholds","Code, logs, submissions, scores, and resource records","https://github.com/openai/mle-bench","GPU, time, and external priors are difficult to normalize, and high run cost limits multi-seed reliability evaluation"
"PaperBench","2025","Paper-reproduction environment and hierarchical grader","Functional vertical","Containers, artifact collection, rubrics, and reproduction","Paper-task containers with independent rerun environments","Hierarchical outcomes, JudgeEval, and fresh reproduction","Files, command logs, rubric decisions, and reproduction results","https://github.com/openai/PaperBench","Expert rubrics and fresh runs are expensive, and model judges require separate meta-evaluation"
"MLGym","2025","ML-research Gym environment","Functional vertical","Training and evaluation APIs with continuous rewards","Open ML tasks with code, data, and compute environments","Task-specific continuous metrics","Trajectories, code changes, experiment logs, and scores","https://github.com/facebookresearch/MLGym","The task count and research distribution are limited, and continuous scores can invite benchmark-specific optimization"
"OSWorld","2024","Desktop environment and evaluator","Interface domain","Virtual-machine reset, action interfaces, and execution evaluators","Virtual machines spanning operating systems and real desktop applications","Task-specific evaluators over application state, files, databases, and UI state","Screenshots, accessibility trees, actions, terminal state, and errors","https://github.com/xlang-ai/OSWorld","Results are sensitive to virtual-machine versions, displays, and application state, and there is no built-in industry-policy layer"
"InterCode","2023","Interactive code environment","Interface domain","Environment APIs, action loops, and task graders","Containerized code, SQL, and shell environments","Execution results, tests, or target state","Interaction histories, outputs, errors, and rewards","https://github.com/princeton-nlp/intercode","Best treated as a terminal substrate rather than a professional-domain harness, with limited security and governance support"
"Model Context Protocol (MCP)","2024","Tool-interoperability protocol","Horizontal substrate","Tool, resource, and prompt contracts","Client–server JSON-RPC with capability negotiation","Defines return and error contracts but provides no domain verifier","Protocol messages can be logged, but auditing and semantic linkage require upper layers","https://modelcontextprotocol.io/specification/","The protocol is not a sandbox, trust model, or success verifier; server supply chains and permissions require separate governance"
"OpenTelemetry","2019","Observability standard","Horizontal substrate","Trace, metric, and log semantics","Cross-language instrumentation and collectors","Provides no task-correctness verifier but can carry verifier events","Distributed traces, spans, metrics, logs, and baggage","https://opentelemetry.io/docs/specs/","It can record only instrumented events; redaction, retention, and business semantics for sensitive trajectories must be designed separately"
